symbol;country
ABEV3.SA;br
AZUL4.SA;br
B3SA3.SA;br
BBAS3.SA;br
BBDC3.SA;br
BBDC4.SA;br
BBSE3.SA;br
BEEF3.SA;br
BPAC11.SA;br
BRAP4.SA;br
BRDT3.SA;br
BRFS3.SA;br
BRKM5.SA;br
BRML3.SA;br
BTOW3.SA;br
CCRO3.SA;br
CIEL3.SA;br
CMIG4.SA;br
COGN3.SA;br
CPFE3.SA;br
CPLE6.SA;br
CRFB3.SA;br
CSAN3.SA;br
CSNA3.SA;br
CVCB3.SA;br
CYRE3.SA;br
ECOR3.SA;br
EGIE3.SA;br
ELET3.SA;br
ELET6.SA;br
EMBR3.SA;br
ENBR3.SA;br
ENEV3.SA;br
ENGI11.SA;br
EQTL3.SA;br
EZTC3.SA;br
FLRY3.SA;br
GGBR4.SA;br
GNDI3.SA;br
GOAU4.SA;br
GOLL4.SA;br
HAPV3.SA;br
HGTX3.SA;br
HYPE3.SA;br
IGTA3.SA;br
IRBR3.SA;br
ITSA4.SA;br
ITUB4.SA;br
JBSS3.SA;br
JHSF3.SA;br
KLBN11.SA;br
LAME4.SA;br
LCAM3.SA;br
LREN3.SA;br
MGLU3.SA;br
MRFG3.SA;br
MRVE3.SA;br
MULT3.SA;br
NTCO3.SA;br
PCAR3.SA;br
PETR3.SA;br
PETR4.SA;br
PRIO3.SA;br
QUAL3.SA;br
RADL3.SA;br
RAIL3.SA;br
RENT3.SA;br
SANB11.SA;br
SBSP3.SA;br
SULA11.SA;br
SUZB3.SA;br
TAEE11.SA;br
TIMS3.SA;br
TOTS3.SA;br
UGPA3.SA;br
USIM5.SA;br
VALE3.SA;br
VIVT3.SA;br
VVAR3.SA;br
WEGE3.SA;br
YDUQ3.SA;br
MMM;us
ABT;us
ABBV;us
ACN;us
ATVI;us
AYI;us
ADBE;us
AMD;us
AAP;us
AES;us
AET;us
AMG;us
AFL;us
A;us
APD;us
AKAM;us
ALK;us
ALB;us
ARE;us
ALXN;us
ALGN;us
ALLE;us
AGN;us
ADS;us
LNT;us
ALL;us
GOOGL;us
GOOG;us
MO;us
AMZN;us
AEE;us
AAL;us
AEP;us
AXP;us
AIG;us
AMT;us
AWK;us
AMP;us
ABC;us
AME;us
AMGN;us
APH;us
APC;us
ADI;us
ANDV;us
ANSS;us
ANTM;us
AON;us
AOS;us
APA;us
AIV;us
AAPL;us
AMAT;us
APTV;us
ADM;us
ARNC;us
AJG;us
AIZ;us
T;us
ADSK;us
ADP;us
AZO;us
AVB;us
AVY;us
BHGE;us
BLL;us
BAC;us
BK;us
BAX;us
BBT;us
BDX;us
BRK;us.B
BBY;us
BIIB;us
BLK;us
HRB;us
BA;us
BWA;us
BXP;us
BSX;us
BHF;us
BMY;us
AVGO;us
BF;us.B
CHRW;us
CA;us
COG;us
CDNS;us
CPB;us
COF;us
CAH;us
CBOE;us
KMX;us
CCL;us
CAT;us
CBG;us
CBS;us
CELG;us
CNC;us
CNP;us
CTL;us
CERN;us
CF;us
SCHW;us
CHTR;us
CHK;us
CVX;us
CMG;us
CB;us
CHD;us
CI;us
XEC;us
CINF;us
CTAS;us
CSCO;us
C;us
CFG;us
CTXS;us
CLX;us
CME;us
CMS;us
KO;us
CTSH;us
CL;us
CMCSA;us
CMA;us
CAG;us
CXO;us
COP;us
ED;us
STZ;us
COO;us
GLW;us
COST;us
COTY;us
CCI;us
CSRA;us
CSX;us
CMI;us
CVS;us
DHI;us
DHR;us
DRI;us
DVA;us
DE;us
DAL;us
XRAY;us
DVN;us
DLR;us
DFS;us
DISCA;us
DISCK;us
DISH;us
DG;us
DLTR;us
D;us
DOV;us
DWDP;us
DPS;us
DTE;us
DRE;us
DUK;us
DXC;us
