mes_ano;trimestre_ano;valor_brl
01/01/1996;1º trimestre 1996;189323.2991
01/02/1996;1º trimestre 1996;189323.2991
01/03/1996;1º trimestre 1996;189323.2991
01/04/1996;2º trimestre 1996;204610.7285
01/05/1996;2º trimestre 1996;204610.7285
01/06/1996;2º trimestre 1996;204610.7285
01/07/1996;3º trimestre 1996;221513.2344
01/08/1996;3º trimestre 1996;221513.2344
01/09/1996;3º trimestre 1996;221513.2344
01/10/1996;4º trimestre 1996;239316.3458
01/11/1996;4º trimestre 1996;239316.3458
01/12/1996;4º trimestre 1996;239316.3458
01/01/1997;1º trimestre 1997;219117.0494
01/02/1997;1º trimestre 1997;219117.0494
01/03/1997;1º trimestre 1997;219117.0494
01/04/1997;2º trimestre 1997;232889.5442
01/05/1997;2º trimestre 1997;232889.5442
01/06/1997;2º trimestre 1997;232889.5442
01/07/1997;3º trimestre 1997;246178.4811
01/08/1997;3º trimestre 1997;246178.4811
01/09/1997;3º trimestre 1997;246178.4811
01/10/1997;4º trimestre 1997;253904.1214
01/11/1997;4º trimestre 1997;253904.1214
01/12/1997;4º trimestre 1997;253904.1214
01/01/1998;1º trimestre 1998;235700.7019
01/02/1998;1º trimestre 1998;235700.7019
01/03/1998;1º trimestre 1998;235700.7019
01/04/1998;2º trimestre 1998;251935.879
01/05/1998;2º trimestre 1998;251935.879
01/06/1998;2º trimestre 1998;251935.879
01/07/1998;3º trimestre 1998;258043.2856
01/08/1998;3º trimestre 1998;258043.2856
01/09/1998;3º trimestre 1998;258043.2856
01/10/1998;4º trimestre 1998;256671.1527
01/11/1998;4º trimestre 1998;256671.1527
01/12/1998;4º trimestre 1998;256671.1527
01/01/1999;1º trimestre 1999;250667.9939
01/02/1999;1º trimestre 1999;250667.9939
01/03/1999;1º trimestre 1999;250667.9939
01/04/1999;2º trimestre 1999;268708.931
01/05/1999;2º trimestre 1999;268708.931
01/06/1999;2º trimestre 1999;268708.931
01/07/1999;3º trimestre 1999;274125.5559
01/08/1999;3º trimestre 1999;274125.5559
01/09/1999;3º trimestre 1999;274125.5559
01/10/1999;4º trimestre 1999;294207.9753
01/11/1999;4º trimestre 1999;294207.9753
01/12/1999;4º trimestre 1999;294207.9753
01/01/2000;1º trimestre 2000;276926.9062
01/02/2000;1º trimestre 2000;276926.9062
01/03/2000;1º trimestre 2000;276926.9062
01/04/2000;2º trimestre 2000;292788.558
01/05/2000;2º trimestre 2000;292788.558
01/06/2000;2º trimestre 2000;292788.558
01/07/2000;3º trimestre 2000;308895.7999
01/08/2000;3º trimestre 2000;308895.7999
01/09/2000;3º trimestre 2000;308895.7999
01/10/2000;4º trimestre 2000;320480.8068
01/11/2000;4º trimestre 2000;320480.8068
01/12/2000;4º trimestre 2000;320480.8068
01/01/2001;1º trimestre 2001;312469.8199
01/02/2001;1º trimestre 2001;312469.8199
01/03/2001;1º trimestre 2001;312469.8199
01/04/2001;2º trimestre 2001;323723.5598
01/05/2001;2º trimestre 2001;323723.5598
01/06/2001;2º trimestre 2001;323723.5598
01/07/2001;3º trimestre 2001;332524.4457
01/08/2001;3º trimestre 2001;332524.4457
01/09/2001;3º trimestre 2001;332524.4457
01/10/2001;4º trimestre 2001;347037.6424
01/11/2001;4º trimestre 2001;347037.6424
01/12/2001;4º trimestre 2001;347037.6424
01/01/2002;1º trimestre 2002;342296.6672
01/02/2002;1º trimestre 2002;342296.6672
01/03/2002;1º trimestre 2002;342296.6672
01/04/2002;2º trimestre 2002;367362.8246
01/05/2002;2º trimestre 2002;367362.8246
01/06/2002;2º trimestre 2002;367362.8246
01/07/2002;3º trimestre 2002;379794.5316
01/08/2002;3º trimestre 2002;379794.5316
01/09/2002;3º trimestre 2002;379794.5316
01/10/2002;4º trimestre 2002;399333.2317
01/11/2002;4º trimestre 2002;399333.2317
01/12/2002;4º trimestre 2002;399333.2317
01/01/2003;1º trimestre 2003;397241.6388
01/02/2003;1º trimestre 2003;397241.6388
01/03/2003;1º trimestre 2003;397241.6388
01/04/2003;2º trimestre 2003;418987.3369
01/05/2003;2º trimestre 2003;418987.3369
01/06/2003;2º trimestre 2003;418987.3369
01/07/2003;3º trimestre 2003;439349.7816
01/08/2003;3º trimestre 2003;439349.7816
01/09/2003;3º trimestre 2003;439349.7816
01/10/2003;4º trimestre 2003;462371.6391
01/11/2003;4º trimestre 2003;462371.6391
01/12/2003;4º trimestre 2003;462371.6391
01/01/2004;1º trimestre 2004;444783.4882
01/02/2004;1º trimestre 2004;444783.4882
01/03/2004;1º trimestre 2004;444783.4882
01/04/2004;2º trimestre 2004;481794.9605
01/05/2004;2º trimestre 2004;481794.9605
01/06/2004;2º trimestre 2004;481794.9605
01/07/2004;3º trimestre 2004;505252.3184
01/08/2004;3º trimestre 2004;505252.3184
01/09/2004;3º trimestre 2004;505252.3184
01/10/2004;4º trimestre 2004;525920.4459
01/11/2004;4º trimestre 2004;525920.4459
01/12/2004;4º trimestre 2004;525920.4459
01/01/2005;1º trimestre 2005;499710.3626
01/02/2005;1º trimestre 2005;499710.3626
01/03/2005;1º trimestre 2005;499710.3626
01/04/2005;2º trimestre 2005;535557.4179
01/05/2005;2º trimestre 2005;535557.4179
01/06/2005;2º trimestre 2005;535557.4179
01/07/2005;3º trimestre 2005;552859.1552
01/08/2005;3º trimestre 2005;552859.1552
01/09/2005;3º trimestre 2005;552859.1552
01/10/2005;4º trimestre 2005;582457.5678
01/11/2005;4º trimestre 2005;582457.5678
01/12/2005;4º trimestre 2005;582457.5678
01/01/2006;1º trimestre 2006;554270.4656
01/02/2006;1º trimestre 2006;554270.4656
01/03/2006;1º trimestre 2006;554270.4656
01/04/2006;2º trimestre 2006;581976.8563
01/05/2006;2º trimestre 2006;581976.8563
01/06/2006;2º trimestre 2006;581976.8563
01/07/2006;3º trimestre 2006;617847.706
01/08/2006;3º trimestre 2006;617847.706
01/09/2006;3º trimestre 2006;617847.706
01/10/2006;4º trimestre 2006;655354.8942
01/11/2006;4º trimestre 2006;655354.8942
01/12/2006;4º trimestre 2006;655354.8942
01/01/2007;1º trimestre 2007;631423.0051
01/02/2007;1º trimestre 2007;631423.0051
01/03/2007;1º trimestre 2007;631423.0051
01/04/2007;2º trimestre 2007;670654.7034
01/05/2007;2º trimestre 2007;670654.7034
01/06/2007;2º trimestre 2007;670654.7034
01/07/2007;3º trimestre 2007;691845.9238
01/08/2007;3º trimestre 2007;691845.9238
01/09/2007;3º trimestre 2007;691845.9238
01/10/2007;4º trimestre 2007;726339.3055
01/11/2007;4º trimestre 2007;726339.3055
01/12/2007;4º trimestre 2007;726339.3055
01/01/2008;1º trimestre 2008;712055.249
01/02/2008;1º trimestre 2008;712055.249
01/03/2008;1º trimestre 2008;712055.249
01/04/2008;2º trimestre 2008;769525.1596
01/05/2008;2º trimestre 2008;769525.1596
01/06/2008;2º trimestre 2008;769525.1596
01/07/2008;3º trimestre 2008;812602.5758
01/08/2008;3º trimestre 2008;812602.5758
01/09/2008;3º trimestre 2008;812602.5758
01/10/2008;4º trimestre 2008;815620.1047
01/11/2008;4º trimestre 2008;815620.1047
01/12/2008;4º trimestre 2008;815620.1047
01/01/2009;1º trimestre 2009;756127.0903
01/02/2009;1º trimestre 2009;756127.0903
01/03/2009;1º trimestre 2009;756127.0903
01/04/2009;2º trimestre 2009;803577.4952
01/05/2009;2º trimestre 2009;803577.4952
01/06/2009;2º trimestre 2009;803577.4952
01/07/2009;3º trimestre 2009;852843.2492
01/08/2009;3º trimestre 2009;852843.2492
01/09/2009;3º trimestre 2009;852843.2492
01/10/2009;4º trimestre 2009;920491.5206
01/11/2009;4º trimestre 2009;920491.5206
01/12/2009;4º trimestre 2009;920491.5206
01/01/2010;1º trimestre 2010;886397.3881
01/02/2010;1º trimestre 2010;886397.3881
01/03/2010;1º trimestre 2010;886397.3881
01/04/2010;2º trimestre 2010;944145.038
01/05/2010;2º trimestre 2010;944145.038
01/06/2010;2º trimestre 2010;944145.038
01/07/2010;3º trimestre 2010;997934.7412
01/08/2010;3º trimestre 2010;997934.7412
01/09/2010;3º trimestre 2010;997934.7412
01/10/2010;4º trimestre 2010;1057369.833
01/11/2010;4º trimestre 2010;1057369.833
01/12/2010;4º trimestre 2010;1057369.833
01/01/2011;1º trimestre 2011;1016530.661
01/02/2011;1º trimestre 2011;1016530.661
01/03/2011;1º trimestre 2011;1016530.661
01/04/2011;2º trimestre 2011;1086712.237
01/05/2011;2º trimestre 2011;1086712.237
01/06/2011;2º trimestre 2011;1086712.237
01/07/2011;3º trimestre 2011;1112334.219
01/08/2011;3º trimestre 2011;1112334.219
01/09/2011;3º trimestre 2011;1112334.219
01/10/2011;4º trimestre 2011;1160804.883
01/11/2011;4º trimestre 2011;1160804.883
01/12/2011;4º trimestre 2011;1160804.883
01/01/2012;1º trimestre 2012;1129474.072
01/02/2012;1º trimestre 2012;1129474.072
01/03/2012;1º trimestre 2012;1129474.072
01/04/2012;2º trimestre 2012;1183125.585
01/05/2012;2º trimestre 2012;1183125.585
01/06/2012;2º trimestre 2012;1183125.585
01/07/2012;3º trimestre 2012;1230448.838
01/08/2012;3º trimestre 2012;1230448.838
01/09/2012;3º trimestre 2012;1230448.838
01/10/2012;4º trimestre 2012;1271711.505
01/11/2012;4º trimestre 2012;1271711.505
01/12/2012;4º trimestre 2012;1271711.505
01/01/2013;1º trimestre 2013;1241614.015
01/02/2013;1º trimestre 2013;1241614.015
01/03/2013;1º trimestre 2013;1241614.015
01/04/2013;2º trimestre 2013;1322580.226
01/05/2013;2º trimestre 2013;1322580.226
01/06/2013;2º trimestre 2013;1322580.226
01/07/2013;3º trimestre 2013;1354133.996
01/08/2013;3º trimestre 2013;1354133.996
01/09/2013;3º trimestre 2013;1354133.996
01/10/2013;4º trimestre 2013;1413290.764
01/11/2013;4º trimestre 2013;1413290.764
01/12/2013;4º trimestre 2013;1413290.764
01/01/2014;1º trimestre 2014;1385979.514
01/02/2014;1º trimestre 2014;1385979.514
01/03/2014;1º trimestre 2014;1385979.514
01/04/2014;2º trimestre 2014;1422320.388
01/05/2014;2º trimestre 2014;1422320.388
01/06/2014;2º trimestre 2014;1422320.388
01/07/2014;3º trimestre 2014;1462125.657
01/08/2014;3º trimestre 2014;1462125.657
01/09/2014;3º trimestre 2014;1462125.657
01/10/2014;4º trimestre 2014;1508527.442
01/11/2014;4º trimestre 2014;1508527.442
01/12/2014;4º trimestre 2014;1508527.442
01/01/2015;1º trimestre 2015;1456670.753
01/02/2015;1º trimestre 2015;1456670.753
01/03/2015;1º trimestre 2015;1456670.753
01/04/2015;2º trimestre 2015;1479980.919
01/05/2015;2º trimestre 2015;1479980.919
01/06/2015;2º trimestre 2015;1479980.919
01/07/2015;3º trimestre 2015;1508226.805
01/08/2015;3º trimestre 2015;1508226.805
01/09/2015;3º trimestre 2015;1508226.805
01/10/2015;4º trimestre 2015;1550908.524
01/11/2015;4º trimestre 2015;1550908.524
01/12/2015;4º trimestre 2015;1550908.524
01/01/2016;1º trimestre 2016;1500225.717
01/02/2016;1º trimestre 2016;1500225.717
01/03/2016;1º trimestre 2016;1500225.717
01/04/2016;2º trimestre 2016;1558991.507
01/05/2016;2º trimestre 2016;1558991.507
01/06/2016;2º trimestre 2016;1558991.507
01/07/2016;3º trimestre 2016;1577186.717
01/08/2016;3º trimestre 2016;1577186.717
01/09/2016;3º trimestre 2016;1577186.717
01/10/2016;4º trimestre 2016;1632924.059
01/11/2016;4º trimestre 2016;1632924.059
01/12/2016;4º trimestre 2016;1632924.059
01/01/2017;1º trimestre 2017;1585969.415
01/02/2017;1º trimestre 2017;1585969.415
01/03/2017;1º trimestre 2017;1585969.415
01/04/2017;2º trimestre 2017;1630936.336
01/05/2017;2º trimestre 2017;1630936.336
01/06/2017;2º trimestre 2017;1630936.336
01/07/2017;3º trimestre 2017;1648571.138
01/08/2017;3º trimestre 2017;1648571.138
01/09/2017;3º trimestre 2017;1648571.138
01/10/2017;4º trimestre 2017;1720002.111
01/11/2017;4º trimestre 2017;1720002.111
01/12/2017;4º trimestre 2017;1720002.111
01/01/2018;1º trimestre 2018;1680867.427
01/02/2018;1º trimestre 2018;1680867.427
01/03/2018;1º trimestre 2018;1680867.427
01/04/2018;2º trimestre 2018;1733452.701
01/05/2018;2º trimestre 2018;1733452.701
01/06/2018;2º trimestre 2018;1733452.701
01/07/2018;3º trimestre 2018;1768336.975
01/08/2018;3º trimestre 2018;1768336.975
01/09/2018;3º trimestre 2018;1768336.975
01/10/2018;4º trimestre 2018;1821483.897
01/11/2018;4º trimestre 2018;1821483.897
01/12/2018;4º trimestre 2018;1821483.897
01/01/2019;1º trimestre 2019;1765633.45
01/02/2019;1º trimestre 2019;1765633.45
01/03/2019;1º trimestre 2019;1765633.45
01/04/2019;2º trimestre 2019;1834366.251
01/05/2019;2º trimestre 2019;1834366.251
01/06/2019;2º trimestre 2019;1834366.251
01/07/2019;3º trimestre 2019;1884002.836
01/08/2019;3º trimestre 2019;1884002.836
01/09/2019;3º trimestre 2019;1884002.836
01/10/2019;4º trimestre 2019;1923021.035
01/11/2019;4º trimestre 2019;1923021.035
01/12/2019;4º trimestre 2019;1923021.035
01/01/2020;1º trimestre 2020;1843863.004
01/02/2020;1º trimestre 2020;1843863.004
01/03/2020;1º trimestre 2020;1843863.004
01/04/2020;2º trimestre 2020;1708759.707
01/05/2020;2º trimestre 2020;1708759.707
01/06/2020;2º trimestre 2020;1708759.707
01/07/2020;3º trimestre 2020;1891735.266
01/08/2020;3º trimestre 2020;1891735.266
01/09/2020;3º trimestre 2020;1891735.266
01/10/2020;4º trimestre 2020;2003500.274
01/11/2020;4º trimestre 2020;2003500.274
01/12/2020;4º trimestre 2020;2003500.274
