Mês/Ano	N.º empresas	Valor de mercado em R$	Valor de mercado em US$
01/1998	45	193.441.400.000,00	172.146.840.000,00
02/1998	45	203.195.970.000,00	179.755.810.000,00
03/1998	48	224.271.340.000,00	197.178.950.000,00
04/1998	48	222.212.640.000,00	194.190.890.000,00
05/1998	50	186.326.890.000,00	161.952.970.000,00
06/1998	51	177.531.130.000,00	153.454.170.000,00
07/1998	51	194.497.943.000,00	167.180.620.000,00
08/1998	51	119.612.840.000,00	101.633.820.000,00
09/1998	50	117.839.050.000,00	99.391.910.000,00
10/1998	50	122.643.530.000,00	102.785.390.000,00
11/1998	50	146.263.720.000,00	121.764.670.000,00
12/1998	50	119.129.690.000,00	98.592.810.000,00
01/1999	49	135.796.410.000,00	68.473.380.000,00
02/1999	49	143.353.430.000,00	69.427.270.000,00
03/1999	49	173.333.150.000,00	100.658.040.000,00
04/1999	49	185.820.190.000,00	111.892.690.000,00
05/1999	40	183.265.710.000,00	106.302.620.000,00
06/1999	40	191.373.490.000,00	108.151.160.000,00
07/1999	39	174.144.080.000,00	97.330.700.000,00
08/1999	39	176.728.030.000,00	92.242.830.000,00
09/1999	40	193.675.996.297,51	100.752.221.972,38
10/1999	40	203.185.009.670,95	104.037.383.344,06
11/1999	39	235.478.577.998,41	122.472.865.240,76
12/1999	39	276.959.470.000,00	154.812.450.000,00
01/2000	38	257.704.120.000,00	142.978.320.000,00
02/2000	38	270.590.690.000,00	153.005.760.000,00
03/2000	38	283.575.560.000,00	162.293.570.000,00
04/2000	38	256.344.950.000,00	141.885.730.000,00
05/2000	46	258.165.260.000,00	141.336.500.000,00
06/2000	46	293.514.700.000,00	163.063.720.000,00
07/2000	44	271.576.260.000,00	153.017.950.000,00
08/2000	44	291.353.680.000,00	159.785.940.000,00
09/2000	48	297.220.467.513,58	161.208.693.124,47
10/2000	48	287.230.833.057,87	150.461.410.716,54
11/2000	48	268.482.287.530,09	137.008.719.907,17
12/2000	48	299.720.065.572,62	153.278.135.201,30
01/2001	47	339.742.175.240,79	172.361.714.393,38
02/2001	47	317.686.220.548,80	155.332.593.657,74
03/2001	47	295.791.092.436,17	136.838.958.380,91
04/2001	46	306.233.792.696,26	140.172.011.121,10
05/2001	47	311.088.095.389,49	131.816.989.571,82
06/2001	47	305.892.912.961,39	132.714.179.774,13
07/2001	47	297.627.818.124,75	122.415.094.033,95
08/2001	47	286.275.951.482,66	112.190.285.489,15
09/2001	48	256.175.104.195,40	95.899.039.492,16
10/2001	48	271.238.257.628,71	100.195.137.833,37
11/2001	48	283.896.245.221,67	112.269.642.591,72
12/2001	48	294.498.513.157,02	126.917.132.027,68
01/2002	48	282.605.426.340,11	116.861.194.367,99
02/2002	48	315.592.659.962,61	134.397.691.833,15
03/2002	48	309.619.023.419,30	133.249.708.822,22
04/2002	48	309.206.448.231,37	130.881.036.288,41
05/2002	48	307.608.088.812,81	121.969.900.401,59
06/2002	48	282.048.501.901,69	99.159.225.812,72
07/2002	48	255.616.639.994,66	74.556.406.590,25
08/2002	48	267.416.104.038,46	88.480.992.634,24
09/2002	47	237.854.016.899,76	61.068.067.703,86
10/2002	47	278.384.408.202,88	76.374.323.238,10
11/2002	47	279.168.133.441,47	76.768.357.882,98
12/2002	47	294.017.021.302,36	83.213.149.549,25
01/2003	45	278.628.606.839,61	79.025.641.511,04
02/2003	45	272.274.480.573,87	76.412.909.905,11
03/2003	45	285.418.951.406,70	85.120.918.376,04
04/2003	45	302.182.270.972,16	104.568.576.016,39
05/2003	45	316.435.837.475,73	106.702.130.252,14
06/2003	45	307.869.207.046,30	107.196.799.110,78
07/2003	45	326.568.647.900,65	110.122.626.167,83
08/2003	45	360.072.007.139,83	121.379.405.744,13
09/2003	45	367.903.367.531,35	125.847.768.875,78
10/2003	45	399.840.954.732,85	139.990.531.031,70
11/2003	45	432.006.457.348,83	146.472.657.946,97
12/2003	45	493.633.378.332,31	170.854.692.763,50
01/2004	45	479.775.636.118,37	163.139.051.351,08
02/2004	45	490.035.291.017,85	168.177.394.130,65
03/2004	45	497.460.376.754,93	171.030.865.968,15
04/2004	45	435.015.841.707,42	147.728.407.548,28
05/2004	45	444.502.578.105,63	142.054.449.555,98
06/2004	45	469.580.035.337,44	151.111.837.598,53
07/2004	45	496.736.276.893,25	164.112.685.639,41
08/2004	45	526.555.798.211,27	179.479.104.987,14
09/2004	46	563.569.583.558,80	197.148.808.353,33
10/2004	45	568.979.751.105,95	199.187.730.126,38
11/2004	45	604.540.254.573,32	221.386.550.911,21
12/2004	45	642.025.875.690,20	241.872.316.037,64
01/2005	45	615.315.633.932,78	234.423.816.646,19
02/2005	45	701.423.120.968,37	270.297.927.155,46
03/2005	45	664.037.867.507,63	249.057.785.427,82
04/2005	45	596.731.017.080,03	235.740.930.383,62
05/2005	47	622.453.017.457,99	258.945.427.014,69
06/2005	47	635.122.572.550,83	270.218.929.778,29
07/2005	47	659.585.955.348,75	275.919.663.396,24
08/2005	48	712.469.221.344,97	301.421.170.768,30
09/2005	48	795.499.572.865,79	357.978.387.573,47
10/2005	48	756.381.021.873,83	335.528.111.552,98
11/2005	48	808.524.845.768,51	366.345.648.286,57
12/2005	48	841.225.776.500,14	359.390.685.051,57
01/2006	48	985.609.421.773,39	444.769.594.663,05
02/2006	48	978.448.444.230,13	458.182.366.766,66
03/2006	45	963.798.577.540,25	443.656.130.335,23
04/2006	45	1.039.802.033.053,23	497.703.442.970,12
05/2006	46	961.364.364.831,85	417.893.660.000,81
06/2006	46	952.477.968.117,79	440.085.925.295,79
07/2006	46	968.528.801.131,57	445.055.050.607,31
08/2006	46	949.577.160.956,16	443.976.604.150,05
09/2006	49	986.819.840.459,55	453.877.214.819,01
10/2006	49	1.046.270.805.657,51	488.227.160.829,51
11/2006	48	1.114.500.600.040,15	514.353.239.819,14
12/2006	48	1.180.653.283.021,59	552.223.238.083,10
01/2007	52	1.229.161.815.199,46	578.510.761.613,13
02/2007	52	1.198.772.121.681,34	565.939.062.261,03
03/2007	52	1.245.897.015.995,56	607.636.078.811,71
04/2007	52	1.318.668.018.529,06	648.344.568.822,97
05/2007	54	1.430.687.757.975,05	741.711.731.025,52
06/2007	53	1.462.435.515.765,38	759.233.473.037,78
07/2007	53	1.467.662.303.643,84	781.669.313.828,15
08/2007	54	1.483.129.091.601,70	755.927.161.876,52
09/2007	57	1.658.438.907.472,95	901.864.651.407,30
10/2007	57	1.792.778.480.952,96	1.027.969.312.473,08
11/2007	57	1.735.614.108.300,34	973.041.491.450,47
12/2007	57	1.764.960.547.416,13	996.421.017.002,29
01/2008	58	1.624.321.037.897,17	922.752.393.283,61
02/2008	58	1.736.301.156.613,93	1.031.486.459.106,48
03/2008	58	1.640.944.287.865,56	938.164.935.032,65
04/2008	57	1.802.722.540.189,89	1.068.469.974.033,78
05/2008	59	1.934.058.914.228,09	1.186.976.134.913,48
06/2008	59	1.754.071.852.683,93	1.101.873.140.702,20
07/2008	59	1.591.177.725.037,69	1.015.688.577.197,00
08/2008	59	1.500.286.869.930,19	917.943.508.278,33
09/2008	59	1.417.135.601.073,50	740.289.192.432,54
10/2008	59	1.072.993.580.723,75	507.253.619.214,16
11/2008	59	1.063.719.120.856,39	455.925.215.745,72
12/2008	59	1.087.639.848.491,75	465.400.020.749,53
01/2009	59	1.120.575.082.870,43	483.798.930.519,99
02/2009	59	1.116.488.635.066,44	469.428.454.030,66
03/2009	58	1.177.778.959.262,12	508.715.860.082,13
04/2009	58	1.308.275.666.762,76	600.594.806.391,54
05/2009	58	1.440.477.464.611,90	730.095.015.008,56
06/2009	58	1.380.812.316.244,55	707.528.344.048,24
07/2009	58	1.428.600.686.107,29	762.896.873.922,49
08/2009	58	1.460.548.292.722,33	774.251.639.483,84
09/2009	57	1.581.312.644.940,44	889.327.172.229,06
10/2009	57	1.584.354.622.540,69	908.460.219.346,71
11/2009	55	1.708.257.481.010,12	975.868.312.487,95
12/2009	55	1.739.615.214.143,77	999.089.831.233,53
01/2010	57	1.733.051.620.344,52	924.392.799.415,69
02/2010	57	1.738.269.311.155,96	959.839.487.109,86
03/2010	57	1.815.435.679.794,50	1.019.335.025.151,35
04/2010	57	1.748.312.322.026,40	1.010.234.786.794,40
05/2010	60	1.665.262.124.062,26	916.641.230.837,35
06/2010	59	1.599.801.982.867,56	888.038.846.998,38
07/2010	59	1.775.691.986.687,74	1.010.523.552.633,59
08/2010	59	1.715.214.795.810,39	976.773.801.714,35
09/2010	62	2.037.373.612.490,57	1.202.557.910.807,83
10/2010	61	2.071.370.099.986,03	1.217.450.393.785,10
11/2010	61	2.000.154.283.514,16	1.165.523.153.379,29
12/2010	62	2.070.751.900.267,21	1.242.799.123.915,06
01/2011	63	2.005.005.406.683,70	1.198.162.666.836,25
02/2011	63	2.064.949.877.014,68	1.247.025.712.310,31
03/2011	63	2.086.588.545.070,49	1.281.137.437.877,18
04/2011	63	2.010.573.933.003,58	1.277.934.235.685,20
05/2011	62	1.949.684.508.272,99	1.234.055.641.669,11
06/2011	61	1.927.819.480.345,77	1.234.910.947.630,38
07/2011	61	1.819.407.410.019,08	1.169.059.570.789,11
08/2011	61	1.752.723.658.000,96	1.104.286.578.881,69
09/2011	63	1.688.500.656.850,47	910.537.455.160,99
10/2011	63	1.820.760.185.219,54	1.078.329.988.285,12
11/2011	63	1.806.672.735.511,36	997.665.655.481,45
12/2011	63	1.833.723.052.452,05	977.568.532.067,42
01/2012	65	1.978.729.930.397,66	1.137.789.621.297,00
02/2012	65	2.055.104.639.496,00	1.202.378.094.720,36
03/2012	65	2.049.881.652.883,81	1.125.010.511.433,98
04/2012	63	1.970.086.854.444,79	1.041.382.204.485,01
05/2012	63	1.792.777.291.446,91	886.504.124.732,63
06/2012	62	1.795.515.843.610,76	888.297.552.867,30
07/2012	62	1.842.316.229.850,56	898.734.684.545,87
08/2012	62	1.829.033.044.407,31	897.817.123.702,78
09/2012	63	1.867.840.521.050,64	919.846.607.431,58
10/2012	63	1.867.282.976.219,49	917.583.772.098,04
11/2012	63	1.874.012.705.072,05	889.253.442.664,93
12/2012	63	2.000.644.421.542,09	979.987.470.752,91
01/2013	64	1.982.611.778.811,10	997.139.153.453,26
02/2013	64	1.918.053.103.752,10	970.969.476.436,24
03/2013	64	1.932.343.050.256,78	959.550.625.810,32
04/2013	64	1.925.432.153.212,61	961.898.462.912,80
05/2013	65	1.906.737.330.023,74	894.384.037.723,95
06/2013	65	1.740.542.463.332,57	785.585.152.253,33
07/2013	65	1.778.892.125.241,66	776.707.036.301,62
08/2013	65	1.792.229.480.487,29	755.418.116.116,86
09/2013	67	1.897.910.544.881,61	851.080.961.830,31
10/2013	67	1.994.618.484.664,26	905.574.541.298,66
11/2013	66	1.947.206.702.922,00	837.544.282.731,34
12/2013	66	1.889.777.530.141,75	806.700.900.769,11
01/2014	68	1.803.394.050.764,00	743.269.196.209,90
02/2014	68	1.789.062.888.155,26	766.719.331.514,21
03/2014	68	1.900.954.434.007,72	840.015.216.088,25
04/2014	68	1.939.626.037.672,41	867.453.505.220,24
05/2014	67	1.901.605.882.857,03	849.310.354.112,15
06/2014	67	1.960.982.717.329,99	890.344.026.029,48
07/2014	66	2.037.449.832.062,68	898.584.207.489,96
08/2014	66	2.223.585.052.853,78	992.849.193.094,25
09/2014	65	1.979.221.905.137,37	807.516.077.167,40
10/2014	66	1.979.772.983.773,78	809.988.128.538,50
11/2014	66	1.992.300.737.829,14	778.212.076.805,22
12/2014	66	1.824.499.232.461,84	686.883.228.846,41
01/2015	64	1.744.785.255.788,93	655.367.635.423,83
02/2015	64	1.897.789.378.219,85	659.366.749.433,65
03/2015	64	1.924.067.884.212,97	599.771.784.355,68
04/2015	64	2.066.169.595.947,61	690.195.615.963,25
05/2015	62	1.949.062.507.141,89	613.144.113.232,05
06/2015	62	1.973.590.995.703,66	636.108.746.117,32
07/2015	62	1.903.496.153.604,43	560.841.530.231,14
08/2015	62	1.754.226.565.936,40	481.044.935.403,61
09/2015	61	1.700.334.994.748,24	427.983.335.787,02
10/2015	60	1.678.886.449.064,91	435.068.659.220,21
11/2015	60	1.658.564.078.124,12	430.728.737.891,32
12/2015	60	1.591.222.118.061,16	407.504.127.755,87
01/2016	58	1.506.704.558.003,34	372.688.373.900,11
02/2016	58	1.560.784.247.649,59	392.196.262.852,92
